epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
186	0.211	0.967	0.958	0.988	0.992	42.438	0.979	0.961
187	0.193	0.968	0.961	0.984	0.989	42.412	0.974	0.96
188	0.193	0.973	0.959	0.988	0.993	42.447	0.981	0.959
189	0.189	0.972	0.962	0.99	0.994	42.455	0.981	0.958
190	0.187	0.971	0.962	0.971	0.977	42.531	0.941	0.962
191	0.188	0.97	0.963	0.988	0.992	42.509	0.977	0.962
192	0.191	0.971	0.961	0.975	0.98	42.693	0.959	0.968
193	0.172	0.974	0.966	0.992	0.994	42.473	0.982	0.958
194	0.192	0.973	0.96	0.991	0.994	42.576	0.983	0.96
195	0.189	0.971	0.963	0.976	0.98	42.573	0.956	0.964
196	0.194	0.97	0.962	0.991	0.994	42.56	0.982	0.963
197	0.176	0.975	0.965	0.992	0.995	42.518	0.983	0.961
198	0.188	0.97	0.964	0.984	0.989	42.475	0.968	0.958
199	0.184	0.97	0.962	0.952	0.957	42.691	0.918	0.967
200	0.18	0.973	0.965	0.988	0.992	42.465	0.975	0.959
