epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
145	-0.006	0.128	0.979	0.974	0.995	0.996	42.033	0.982	0.949
146	-0.011	0.114	0.978	0.979	0.995	0.996	42.034	0.982	0.948
147	-0.063	0.132	0.977	0.973	0.986	0.987	42.039	0.954	0.949
148	0.004	0.185	0.969	0.961	0.993	0.996	42.034	0.982	0.952
149	-0.002	0.125	0.979	0.977	0.994	0.994	42.037	0.978	0.951
150	-0.007	0.121	0.979	0.978	0.991	0.993	42.045	0.971	0.948
151	-0.007	0.114	0.981	0.979	0.994	0.996	42.049	0.98	0.948
152	-0.016	0.115	0.98	0.978	0.996	0.997	42.042	0.986	0.947
153	-0.004	0.12	0.978	0.977	0.994	0.996	42.037	0.981	0.947
154	-0.007	0.112	0.98	0.98	0.997	0.998	42.041	0.985	0.947
155	-0.003	0.138	0.977	0.973	0.984	0.989	42.032	0.966	0.95
156	-0.005	0.129	0.98	0.974	0.993	0.995	42.028	0.98	0.953
157	-0.003	0.197	0.967	0.962	0.99	0.992	42.052	0.973	0.951
158	-0.002	0.097	0.983	0.984	0.995	0.996	42.037	0.98	0.95
159	-0.002	0.112	0.982	0.979	0.992	0.993	42.046	0.966	0.946
160	-0.003	0.098	0.982	0.982	0.995	0.996	42.041	0.98	0.946
161	-0.006	0.118	0.98	0.978	0.993	0.995	42.037	0.978	0.948
162	-0.005	0.129	0.977	0.974	0.996	0.997	42.029	0.984	0.947
163	-0.008	0.114	0.982	0.976	0.994	0.996	42.038	0.981	0.949
164	-0.005	0.125	0.98	0.976	0.996	0.997	42.032	0.985	0.947
165	-0.006	0.092	0.982	0.984	0.993	0.995	42.028	0.977	0.953
166	-0.002	0.11	0.981	0.978	0.994	0.995	42.039	0.973	0.947
167	-0.01	0.121	0.979	0.978	0.992	0.994	42.046	0.978	0.949
168	-0.005	0.117	0.978	0.977	0.994	0.995	42.044	0.978	0.947
169	-0.015	0.13	0.976	0.975	0.991	0.992	42.037	0.968	0.945
170	-0.014	0.118	0.979	0.977	0.994	0.995	42.025	0.975	0.949
171	-0.053	0.113	0.98	0.979	0.993	0.996	42.035	0.979	0.947
172	-0.018	0.116	0.98	0.977	0.993	0.994	42.041	0.974	0.952
173	-0.008	0.102	0.982	0.981	0.995	0.997	42.027	0.979	0.949
174	-0.015	0.106	0.98	0.982	0.996	0.997	42.04	0.984	0.947
175	0.005	0.107	0.98	0.979	0.996	0.997	42.024	0.985	0.953
176	-0.006	0.093	0.983	0.983	0.995	0.996	42.046	0.982	0.946
177	-0.01	0.078	0.985	0.987	0.996	0.997	42.035	0.985	0.945
178	-0.009	0.074	0.986	0.987	0.997	0.998	42.032	0.988	0.947
179	-0.021	0.083	0.985	0.985	0.998	0.998	42.032	0.988	0.948
180	-0.003	0.075	0.987	0.987	0.998	0.998	42.031	0.989	0.946
181	-0.016	0.071	0.985	0.989	0.997	0.998	42.033	0.988	0.946
182	0.002	0.087	0.984	0.984	0.997	0.998	42.031	0.987	0.948
183	-0.038	0.075	0.986	0.987	0.998	0.998	42.028	0.989	0.947
184	-0.038	0.07	0.987	0.988	0.997	0.998	42.034	0.988	0.946
185	-0.035	0.078	0.987	0.986	0.997	0.997	42.033	0.984	0.948
186	-0.035	0.07	0.988	0.987	0.998	0.999	42.029	0.99	0.948
187	0.004	0.07	0.987	0.988	0.998	0.998	42.031	0.989	0.947
188	-0.004	0.066	0.988	0.989	0.997	0.998	42.033	0.989	0.945
